area_type,availability,size,society,location,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,3 BHK,PuontFa,Tilak Road,2020,3,2,160
Super built-up  Area,Ready To Move,5 BHK,V htsji,Uruli Devachi,2700,4,,170
Super built-up  Area,18-Jan,3 BHK,Pamesy ,Vadgaon Budruk,1730,3,2,72.6
Built-up  Area,Ready To Move,3 BHK,Sooneoo,Wadgaon Sheri,1950,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Srcha S,Viman Nagar,1077,2,1,34.46
Super built-up  Area,Ready To Move,3 BHK,Stide B,Vishrant Wadi,1706,3,2,115
Built-up  Area,Ready To Move,5 BHK,,Wagholi,3000,4,0,300
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,Wakadewadi,1093,2,1,37
Super built-up  Area,Ready To Move,4 BHK,,Wanowrie,2750,4,,142
Super built-up  Area,18-Feb,2 BHK,BrlisCo,Warje,1340,2,1,101
Super built-up  Area,18-Nov,2 BHK,AsastDe,Yerawada,984,2,1,59
Super built-up  Area,Ready To Move,2 BHK,DSutyng,Alandi Road,1135,2,2,68
Plot  Area,18-Dec,4 Bedroom,Putere ,Ambegaon Budruk,2400,4,1,344
Super built-up  Area,Ready To Move,2 BHK,MKllei ,Anandnagar,1155,2,2,39
Super built-up  Area,Ready To Move,1 BHK,Baowsig,Aundh,700,1,0,35
Super built-up  Area,Ready To Move,2 BHK,Maows M,Aundh Road,1150,2,1,42
Super built-up  Area,Ready To Move,3 BHK,ARureig,Balaji Nagar,1385,2,1,69.25
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,Baner,2061,4,2,175
Super built-up  Area,Ready To Move,3 BHK,,Baner road,1335,2,3,73.43
Super built-up  Area,Ready To Move,2 BHK,Goner C,Bhandarkar Road,1015,2,1,60
Built-up  Area,Ready To Move,6 Bedroom,,Bhavani Peth,3000,6,2,150
Super built-up  Area,Ready To Move,2 BHK,Prarkun,Bibvewadi,1108,2,1,63
Super built-up  Area,Ready To Move,2 BHK,,Bopodi,1180,2,1,105
Super built-up  Area,18-Sep,3 BHK,Maity W,Budhwar Peth,1445,2,1,83
Super built-up  Area,Ready To Move,2 BHK,,Bund Garden Road,1500,2,2,65
Plot  Area,Ready To Move,1 Bedroom,,Camp,1Grounds,1,1,48
Super built-up  Area,18-Jun,2 BHK,MCnexva,Chandan Nagar,1085,2,1,46.5
Super built-up  Area,Ready To Move,2 BHK,,Dapodi,1050,2,2,52.08
Plot  Area,Ready To Move,4 Bedroom,,Deccan Gymkhana,2760,4,2,290
Built-up  Area,Ready To Move,3 BHK,,Dehu Road,1330,2,1,49
Plot  Area,18-May,2 Bedroom,,Dhankawadi,845,2,1,45.82
Super built-up  Area,18-Mar,3 BHK,Alestrb,Dhayari Phata,1762,3,3,112
Super built-up  Area,Ready To Move,2 BHK,Dimes E,Dhole Patil Road,1303,2,2,80
Super built-up  Area,Ready To Move,3 BHK,,Erandwane,1560,2,2,125
Super built-up  Area,19-Jan,3 BHK,SuVue S,Fatima Nagar,1110,2,2,29.97
Super built-up  Area,18-May,3 BHK,,Fergusson College Road,1290,3,2,45.33
Super built-up  Area,Ready To Move,2 BHK,Loals P,Ganesh Peth,1160 - 1315,2,0,49.49
Super built-up  Area,18-Mar,3 BHK,HMigond,Ganeshkhind,1780,3,2,88
Super built-up  Area,Ready To Move,3 BHK,PrityTr,Ghorpade Peth,1636,3,2,83
Built-up  Area,18-May,4 Bedroom,Asoilul,Ghorpadi,2557,,,170
Built-up  Area,Ready To Move,2 BHK,DShtsow,Gokhale Nagar,1332,2,2,101
Super built-up  Area,Ready To Move,5 BHK,,Gultekdi,7500,5,2,1500
Built-up  Area,Ready To Move,2 BHK,Seityen,Guruwar peth,1012,2,2,59
Super built-up  Area,Ready To Move,2 BHK,Reunee ,Hadapsar,1192,2,2,53.5
Super built-up  Area,Ready To Move,2 BHK,SLtias ,Hadapsar Industrial Estate,795,2,1,32.54
Super built-up  Area,Ready To Move,2 BHK,,Hingne Khurd,1213,2,2,48
Super built-up  Area,Ready To Move,3 BHK,CoLeoen,Jangali Maharaj Road,1489,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Ahownve,Kalyani Nagar,1200,2,2,62
Super built-up  Area,18-Jul,2 BHK,,Karve Nagar,1140,2,2,28.5
Super built-up  Area,18-Apr,3 BHK,Brrds O,Karve Road,1200,2,1,55.08
Super built-up  Area,18-Aug,2 BHK,,Kasba Peth,1200,2,1,36
Plot  Area,Ready To Move,5 Bedroom,,Katraj,2640,6,1,225
Super built-up  Area,Ready To Move,3 BHK,,Khadaki,1650,3,1,94
Plot  Area,Ready To Move,2 Bedroom,,Khadki,1245,2,1,120
Super built-up  Area,Ready To Move,2 BHK,AWharde,Kharadi,1224,2,2,67
Super built-up  Area,18-Aug,2 BHK,BMineis,Kondhwa,1235,2,2,52.76
Super built-up  Area,Ready To Move,2 BHK,,Kondhwa Budruk,1200,2,2,45.6
Built-up  Area,Ready To Move,3 BHK,NCs 2rj,Kondhwa Khurd,1342,2,2,75
Plot  Area,Ready To Move,3 Bedroom,,Koregaon Park,600,3,2,79
Built-up  Area,Ready To Move,2 BHK,GilomSh,Kothrud,1800,2,2,80
Plot  Area,Ready To Move,4 Bedroom,,Law College Road,2280,4,2,615
Plot  Area,Ready To Move,4 Bedroom,,Laxmi Road,2440,2,0,415
Super built-up  Area,Ready To Move,2 BHK,SLtias ,Lulla Nagar,1130,2,1,46.33
Built-up  Area,Ready To Move,2 BHK,ManceEl,Mahatma Gandhi Road,1186,2,3,72
Super built-up  Area,Ready To Move,2 BHK,Shateor,Mangalwar peth,1295,2,1,64
Super built-up  Area,Ready To Move,3 BHK,Srier P,Manik Bagh,1535,3,2,85
Super built-up  Area,Ready To Move,2 BHK,SNity S,Market yard,905,2,1,65
Super built-up  Area,18-Jul,2 BHK,Rosha I,Model colony,1447,2,1,75.97
Super built-up  Area,Ready To Move,2 BHK,Nadhian,Mukund Nagar,1165,2,1,40
Super built-up  Area,19-Jul,2 BHK,Soazak ,Mundhawa,1328,2,2,107
Super built-up  Area,Ready To Move,3 BHK,,Nagar Road,1485,2,3,110
Super built-up  Area,Ready To Move,3 BHK,,Nana Peth,1475,2,3,59
Super built-up  Area,Ready To Move,2 BHK,AuRISa ,Narayan Peth,1175,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Prtanha,Narayangaon,1245,2,2,100
Plot  Area,Ready To Move,4 Bedroom,,Navi Peth,720,4,1,95
Super built-up  Area,20-Nov,2 BHK,AsNowre,Padmavati,985,2,1,49.97
Plot  Area,Ready To Move,5 Bedroom,,Parvati Darshan,4000,5,0,800
Super built-up  Area,Ready To Move,3 BHK,VRiewke,Pashan,1395,2,2,63
Super built-up  Area,21-Dec,1 BHK,GoAirej,Paud Road,706 - 716,1,0,42.65
Super built-up  Area,18-Apr,1 BHK,Prarkun,Pirangut,630,1,1,40.5
Super built-up  Area,Ready To Move,4 BHK,,Prabhat Road,2400,4,1,88
Super built-up  Area,Ready To Move,2 BHK,,Pune Railway Station,1170,2,2,40
Super built-up  Area,Ready To Move,4 BHK,Prionad,Rasta Peth,2500,5,2,181
Super built-up  Area,Ready To Move,2 BHK,,Raviwar Peth,1100,2,2,49.5
Super built-up  Area,18-Mar,4 BHK,Vapasrk,Sadashiv Peth,3560,5,3,318
Plot  Area,Ready To Move,2 Bedroom,,Sahakar Nagar,900,2,0,55
Built-up  Area,18-Dec,2 BHK,,Salunke Vihar,1160,2,1,33.51
Super built-up  Area,18-Jan,2 BHK,Muistry,Sasson Road,1180,2,2,55
Super built-up  Area,21-Jan,3 BHK,Sapus S,Satara Road,1441,2,1,95
Super built-up  Area,Ready To Move,2 BHK,Aconyit,Senapati Bapat Road,1115,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Goandn ,Shaniwar Peth,1825,3,2,145
Carpet  Area,Ready To Move,2 BHK,,Shivaji Nagar,1489,2,0,101
Super built-up  Area,Ready To Move,4 BHK,,Shukrawar Peth,2800,4,3,365
Super built-up  Area,Ready To Move,3 BHK,Prldsri,Sinhagad Road,1278,3,2,62.71
Super built-up  Area,Ready To Move,3 BHK,,Somwar Peth,1223,2,2,42.81
Super built-up  Area,Ready To Move,2 BHK,,Swargate,1065,2,1,50.92
Super built-up  Area,Ready To Move,2 BHK,Pae 1ov,Tilak Road,1190,2,1,64
Super built-up  Area,22-Jun,2 BHK,,Uruli Devachi,1130,2,2,63
Super built-up  Area,18-Apr,2 BHK,Bregae ,Vadgaon Budruk,1430,2,2,87.8
Built-up  Area,Ready To Move,4 BHK,Aples M,Wadgaon Sheri,1900,3,1,90
Super built-up  Area,Ready To Move,2 BHK,DSlesSp,Viman Nagar,1104,2,1,34.22
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,Vishrant Wadi,1240,2,2,45.88
Built-up  Area,Ready To Move,2 BHK,GRlpank,Wagholi,1140,2,2,62
Super built-up  Area,Ready To Move,2 BHK,,Wakadewadi,1194,2,2,47
Super built-up  Area,Ready To Move,3 BHK,,Wanowrie,1464,3,2,56
Super built-up  Area,Ready To Move,4 BHK,Prldsum,Warje,3508,6,2,425
Super built-up  Area,Ready To Move,3 BHK,KeureSi,Yerawada,1700,3,3,105
Super built-up  Area,18-Dec,4 BHK,Jaades ,Alandi Road,2658,5,3,189
Super built-up  Area,Ready To Move,3 BHK,DencyRe,Ambegaon Budruk,1600,2,1,90
Super built-up  Area,Ready To Move,4 BHK,,Anandnagar,3400,4,2,275
Super built-up  Area,18-Apr,3 BHK,Sariana,Aundh,1508,3,1,75
Built-up  Area,18-Jan,1 BHK,Soresea,Aundh Road,645,1,1,41
Super built-up  Area,Ready To Move,2 BHK,,Balaji Nagar,1046,2,1,60
Plot  Area,Ready To Move,10 Bedroom,,Baner,1200,8,3,230
Built-up  Area,Ready To Move,1 Bedroom,,Baner road,1500,1,1,300
Built-up  Area,Ready To Move,6 Bedroom,,Bhandarkar Road,3000,6,3,300
Super built-up  Area,18-May,2 BHK,SStusan,Bhavani Peth,1079,2,1,32.37
Super built-up  Area,Ready To Move,2 BHK,Soowsa ,Bibvewadi,975,2,1,50
Built-up  Area,Ready To Move,2 BHK,Foinade,Bopodi,1050,2,1,51
Plot  Area,Ready To Move,9 Bedroom,,Budhwar Peth,1200,9,0,350
Super built-up  Area,Ready To Move,3 BHK,,Bund Garden Road,1903,3,2,165
Built-up  Area,Ready To Move,3 Bedroom,Prood G,Camp,2940Sq. Yards,3,1,232
Super built-up  Area,Ready To Move,2 BHK,,Chandan Nagar,1200,2,2,38
Super built-up  Area,Ready To Move,4 BHK,Sohea A,Dapodi,2996,4,3,200
Built-up  Area,Ready To Move,4 BHK,,Deccan Gymkhana,3400,4,,200
Plot  Area,Ready To Move,4 Bedroom,PrOakSi,Dehu Road,2000,4,1,312
Plot  Area,Ready To Move,4 Bedroom,,Dhankawadi,1453,4,1,160
Super built-up  Area,Ready To Move,2 BHK,,Dhayari Phata,1092,2,2,43
Super built-up  Area,Ready To Move,2 BHK,SyavuHo,Dhole Patil Road,1400,2,0,75
Super built-up  Area,Ready To Move,3 BHK,Rerelve,Erandwane,1416,2,1,85
Built-up  Area,Ready To Move,3 BHK,BMityre,Fatima Nagar,1602,2,1,75
Super built-up  Area,Ready To Move,2 BHK,Music C,Fergusson College Road,1100,2,1,41
Super built-up  Area,Ready To Move,3 BHK,Somumys,Ganesh Peth,1760,3,,110
Super built-up  Area,Ready To Move,4 BHK,PueraRi,Ganeshkhind,3800,4,3,235
Super built-up  Area,Ready To Move,2 BHK,,Ghorpade Peth,1037,2,1,36.28
Super built-up  Area,Ready To Move,3 BHK,IBityin,Ghorpadi,1384,2,2,76.18
Super built-up  Area,22-Jan,1 BHK,,Gokhale Nagar,551,1,1,30
Plot  Area,Ready To Move,4 Bedroom,,Gultekdi,2400,5,,1250
Plot  Area,Ready To Move,1 Bedroom,,Guruwar peth,500,1,0,70
Super built-up  Area,18-Apr,2 BHK,SNityVe,Hadapsar,900,2,2,27.98
Plot  Area,Ready To Move,3 Bedroom,,Hadapsar Industrial Estate,1415,2,1,74
Super built-up  Area,18-Mar,2 BHK,,Hingne Khurd,1400,2,1,44.8
Plot  Area,Ready To Move,7 Bedroom,,Jangali Maharaj Road,1300,4,1,52
Built-up  Area,Ready To Move,3 BHK,,Kalyani Nagar,2850,4,3,460
Built-up  Area,Ready To Move,2 BHK,MJinala,Karve Nagar,1030,2,2,75
Built-up  Area,Ready To Move,2 BHK,Prrtht ,Karve Road,883,2,1,39
Super built-up  Area,Ready To Move,1 BHK,,Kasba Peth,550,1,1,16
Super built-up  Area,Ready To Move,4 BHK,,Katraj,1800,4,2,55
Plot  Area,Ready To Move,5 Bedroom,Epllan ,Khadaki,10000,5,,1950
Super built-up  Area,Ready To Move,2 BHK,Brglede,Khadki,1210,2,1,77
Plot  Area,Ready To Move,4 Bedroom,,Kharadi,2000,3,0,90
Super built-up  Area,21-Oct,3 BHK,PrarePa,Kondhwa,1100,3,1,58
Super built-up  Area,Ready To Move,3 BHK,,Kondhwa Budruk,1780,3,1,100
Plot  Area,Ready To Move,5 Bedroom,,Kondhwa Khurd,950,5,2,55
Built-up  Area,Ready To Move,2 BHK,,Koregaon Park,1050,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Collsrn,Kothrud,1370,3,3,38.36
Super built-up  Area,Ready To Move,4 BHK,PueraRi,Law College Road,3951,4,3,230
Super built-up  Area,Ready To Move,3 BHK,BhreeBa,Laxmi Road,2500,4,2,112
Built-up  Area,Ready To Move,2 BHK,,Lulla Nagar,1050,2,1,49.5
Super built-up  Area,Ready To Move,3 BHK,,Mahatma Gandhi Road,1843,3,1,87.54
Plot  Area,Ready To Move,4 Bedroom,,Mangalwar peth,1200,4,1,175
Super built-up  Area,Ready To Move,2 BHK,ManceEl,Manik Bagh,1186,2,1,76
Super built-up  Area,18-Aug,1 BHK,SNnia E,Market yard,560,1,1,45
Super built-up  Area,Ready To Move,3 BHK,AriosHe,Model colony,2357,3,2,135
Plot  Area,Ready To Move,4 Bedroom,,Mukund Nagar,1200,3,1,160
Super built-up  Area,20-Jan,3 BHK,Aduil T,Mundhawa,1823,3,2,103
Built-up  Area,Ready To Move,3 BHK,Itbhaa ,Nagar Road,1310,3,3,90
Super built-up  Area,Ready To Move,3 BHK,CaestSr,Nana Peth,1520,2,2,60
Super built-up  Area,18-Jul,3 BHK,Rosha I,Narayan Peth,1610,3,1,74.03
Plot  Area,18-Aug,3 Bedroom,,Narayangaon,1500,3,1,78.57
Super built-up  Area,Ready To Move,3 BHK,MCrds S,Navi Peth,1400,2,2,80
Super built-up  Area,Ready To Move,3 BHK,,Padmavati,1625,3,2,120
Plot  Area,Ready To Move,5 Bedroom,,Parvati Darshan,1500,5,3,265
Built-up  Area,Ready To Move,2 BHK,,Pashan,900,2,1,24
Built-up  Area,Ready To Move,2 BHK,,Paud Road,1100,2,0,32
Super built-up  Area,Ready To Move,2 BHK,,Pirangut,1000,2,1,50
Super built-up  Area,18-Dec,4 BHK,Jaades ,Prabhat Road,2774,4,3,197
Super built-up  Area,Ready To Move,1 BHK,Vaarai ,Pune Railway Station,994,2,0,54.67
Super built-up  Area,Ready To Move,3 BHK,ARncy R,Rasta Peth,1455,3,3,75
Plot  Area,Ready To Move,5 Bedroom,Arncyd ,Raviwar Peth,1200,3,1,79
Built-up  Area,Ready To Move,2 BHK,RothaVa,Sadashiv Peth,1172,2,1,75
Super built-up  Area,Ready To Move,3 BHK,,Sahakar Nagar,1935,3,2,102
Super built-up  Area,Ready To Move,3 BHK,Ameur G,Salunke Vihar,1856,3,3,106
Super built-up  Area,Ready To Move,3 BHK,,Sasson Road,2392,3,2,249
Super built-up  Area,Ready To Move,2 BHK,Gaent R,Satara Road,900,2,2,35
Built-up  Area,Ready To Move,3 BHK,ChionCo,Senapati Bapat Road,1757,3,3,98
Super built-up  Area,Ready To Move,2 BHK,,Shaniwar Peth,1027,2,2,44
Super built-up  Area,Ready To Move,3 BHK,Nillsre,Shivaji Nagar,1626,3,3,85
Super built-up  Area,Ready To Move,2 BHK,,Shukrawar Peth,1200,2,1,54
Super built-up  Area,19-Dec,3 BHK,Caycend,Sinhagad Road,1559,3,1,81.55
Super built-up  Area,Ready To Move,2 BHK,,Somwar Peth,1190,2,2,50
Super built-up  Area,Ready To Move,2 BHK,SVlesas,Swargate,1200,2,1,72
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,Tilak Road,1174,2,1,74
Built-up  Area,Ready To Move,2 BHK,,Uruli Devachi,1140,2,1,65
Built-up  Area,Ready To Move,3 BHK,Tantsod,Vadgaon Budruk,1603,2,0,125
Super built-up  Area,Ready To Move,3 BHK,Prldsri,Wadgaon Sheri,1278,3,2,70
Super built-up  Area,Ready To Move,3 BHK,RahtsHe,Viman Nagar,2180,3,,285
Super built-up  Area,Ready To Move,2 BHK,DatroGo,Vishrant Wadi,1085,2,1,50
Super built-up  Area,19-Jun,2 BHK,Pae 2ov,Wagholi,1195,2,1,61.36
Plot  Area,Ready To Move,1 Bedroom,,Wakadewadi,450,1,0,30
Super built-up  Area,19-Jan,4 BHK,,Wanowrie,6500,5,2,1400
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,Warje,550,1,1,11.5
Super built-up  Area,Ready To Move,2 BHK,AriosPa,Yerawada,1165,2,2,45
Super built-up  Area,Ready To Move,4 BHK,,Alandi Road,3000,4,2,301
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,Ambegaon Budruk,1452,3,3,60
Super built-up  Area,18-Jan,1 BHK,SJityaz,Anandnagar,702,1,1,52
Super built-up  Area,Ready To Move,2 BHK,,Aundh,1020,2,1,42.83
Super built-up  Area,18-May,2 BHK,Derdsig,Aundh Road,1340,2,1,65
Super built-up  Area,18-Apr,2 BHK,,Balaji Nagar,1125,2,1,54.8
Super built-up  Area,Ready To Move,2 BHK,ARnamru,Baner,1160,2,1,40.53
Built-up  Area,Ready To Move,2 BHK,DSestil,Baner road,1050,2,1,50
Super built-up  Area,19-Dec,3 BHK,Shestut,Bhandarkar Road,1960,3,1,138
Built-up  Area,Ready To Move,2 BHK,,Bhavani Peth,1200,3,2,52
Plot  Area,Ready To Move,3 Bedroom,,Bibvewadi,1200,4,1,220
Super built-up  Area,18-Dec,4 BHK,Jaades ,Bopodi,3496,4,,262
Super built-up  Area,Ready To Move,2 BHK,MavanK ,Budhwar Peth,975,2,1,32
Super built-up  Area,Ready To Move,3 BHK,MJinala,Bund Garden Road,1700,3,3,125
Built-up  Area,Ready To Move,4 Bedroom,,Camp,1800,4,0,230
Plot  Area,Ready To Move,4 Bedroom,,Chandan Nagar,612,3,0,47
Built-up  Area,Ready To Move,2 BHK,Viium E,Dapodi,1275,2,3,69
Built-up  Area,Ready To Move,1 BHK,,Deccan Gymkhana,650,1,0,40
Super built-up  Area,Ready To Move,2 BHK,HMonymp,Dehu Road,1495,2,2,110
Super built-up  Area,Ready To Move,2 BHK,Srntsha,Dhankawadi,1200,2,2,48
Plot  Area,Ready To Move,5 Bedroom,,Dhayari Phata,3750,6,2,295
Super built-up  Area,19-Mar,3 BHK,Puachal,Dhole Patil Road,1679,3,2,94.86
Super built-up  Area,Ready To Move,3 BHK,,Erandwane,1450,3,2,75
Super built-up  Area,18-Nov,2 BHK,Soresea,Fatima Nagar,1210,2,1,82
Super built-up  Area,18-May,3 BHK,,Fergusson College Road,1300,2,1,51
Super built-up  Area,Ready To Move,2 BHK,,Ganesh Peth,1165,2,1,49.61
Super built-up  Area,Ready To Move,3 BHK,ETens G,Ganeshkhind,1623,3,3,155
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,Ghorpade Peth,1115,2,1,35.8
Super built-up  Area,Ready To Move,1 BHK,,Ghorpadi,450,1,1,20
Super built-up  Area,18-Apr,2 BHK,Shitt S,Gokhale Nagar,1170,2,1,62
Built-up  Area,Ready To Move,4 Bedroom,Caxusnd,Gultekdi,2065,4,0,248
Built-up  Area,Ready To Move,3 BHK,,Guruwar peth,1700,3,2,126
Plot  Area,Ready To Move,6 Bedroom,,Hadapsar,1080,5,2,160
Super built-up  Area,Ready To Move,2 BHK,SoncyRe,Hadapsar Industrial Estate,1245,2,1,55
Built-up  Area,19-Dec,2 BHK,GoityEt,Hingne Khurd,1017,2,1,66
Plot  Area,Ready To Move,6 Bedroom,,Jangali Maharaj Road,650,6,2,80
Super built-up  Area,18-Mar,2 BHK,SJityaz,Kalyani Nagar,1242,2,1,75
Super built-up  Area,18-Mar,3 BHK,Miitat ,Karve Nagar,1792,3,1,104
Super built-up  Area,18-Aug,3 BHK,,Karve Road,1275,3,2,55
Plot  Area,Ready To Move,6 Bedroom,,Kasba Peth,1200,6,1,260
Plot  Area,Ready To Move,3 Bedroom,,Katraj,2400,3,0,408
Super built-up  Area,Ready To Move,1 BHK,Sidin J,Khadaki,605,1,1,22
Plot  Area,Ready To Move,4 Bedroom,,Khadki,1200,4,2,115
Super built-up  Area,18-Dec,3 BHK,Shitt S,Kharadi,1450,3,2,79
Plot  Area,Ready To Move,3 Bedroom,Prana S,Kondhwa,1232,3,1,96
Plot  Area,Ready To Move,5 Bedroom,,Kondhwa Budruk,1800,5,0,70
Built-up  Area,Ready To Move,1 Bedroom,,Kondhwa Khurd,900,1,1,52.3
Super built-up  Area,Ready To Move,2 BHK,,Koregaon Park,1200,2,2,40
Super built-up  Area,Ready To Move,4 BHK,,Kothrud,2100,3,,204
Super built-up  Area,18-Aug,2 BHK,DSera S,Law College Road,1065,2,1,42.6
Super built-up  Area,Ready To Move,2 BHK,,Laxmi Road,1075,2,1,48.38
Plot  Area,Ready To Move,6 Bedroom,,Lulla Nagar,1508,5,2,240
Super built-up  Area,Ready To Move,2 BHK,Prdenth,Mahatma Gandhi Road,780,2,1,31
Super built-up  Area,Ready To Move,2 BHK,SrncyRe,Mangalwar peth,1070,2,1,42.79
Super built-up  Area,Ready To Move,3 BHK,NRowse ,Manik Bagh,1464,3,2,56
Super built-up  Area,18-Oct,3 BHK,DNeremo,Market yard,1910,3,2,150
Built-up  Area,Ready To Move,2 BHK,,Model colony,1280,2,1,120
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Mukund Nagar,1530,3,2,64
Built-up  Area,Ready To Move,4 BHK,Pride S,Mundhawa,2439,5,2,170
Super built-up  Area,Ready To Move,2 BHK,InhtsHe,Nagar Road,1088,2,2,43.5
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,Nana Peth,1174,2,1,78
Super built-up  Area,18-Dec,3 BHK,Prllsan,Narayan Peth,1587,3,1,73.8
Built-up  Area,Ready To Move,2 BHK,,Narayangaon,1045,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Prensya,Navi Peth,1304,2,1,69.97
Super built-up  Area,Ready To Move,2 BHK,DSe 2ie,Padmavati,1100,2,2,65
Super built-up  Area,18-May,3 BHK,Puachal,Parvati Darshan,1482,2,1,68.9
Built-up  Area,18-Mar,3 Bedroom,,Pashan,2125,3,1,107
Super built-up  Area,Ready To Move,5 BHK,,Paud Road,1000,4,0,65
Super built-up  Area,Ready To Move,2 BHK,,Pirangut,1194,2,2,45
Super built-up  Area,Ready To Move,2 BHK,Sravema,Prabhat Road,1200,2,3,42
Super built-up  Area,Ready To Move,2 BHK,PSterAs,Pune Railway Station,1070,2,2,32.99
Super built-up  Area,Ready To Move,2 BHK,Bhentne,Rasta Peth,1100,2,1,46.5
Built-up  Area,Ready To Move,3 BHK,Hoensti,Raviwar Peth,1270,2,2,65
Super built-up  Area,Ready To Move,2 BHK,,Sadashiv Peth,1000,2,1,31
Super built-up  Area,Ready To Move,2 BHK,Prlla C,Sahakar Nagar,1246,2,1,69
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Salunke Vihar,1529,3,3,51.77
Super built-up  Area,Ready To Move,2 BHK,MenueNo,Sasson Road,1185,2,2,42
Super built-up  Area,Ready To Move,2 BHK,,Satara Road,1060,2,1,46
Super built-up  Area,Ready To Move,3 BHK,Patri M,Senapati Bapat Road,1319,3,1,37.75
Super built-up  Area,Ready To Move,2 BHK,Srsica ,Shaniwar Peth,991,2,0,64
Super built-up  Area,Ready To Move,1 BHK,Pronyt ,Shivaji Nagar,662,1,0,38
Built-up  Area,Ready To Move,2 Bedroom,,Shukrawar Peth,1200,2,1,110
Plot  Area,18-Apr,3 Bedroom,,Sinhagad Road,1400,2,1,78
Super built-up  Area,Ready To Move,3 BHK,,Somwar Peth,1575,3,2,80
Plot  Area,Ready To Move,2 Bedroom,,Swargate,600,2,0,65
Plot  Area,Ready To Move,5 Bedroom,,Tilak Road,717,5,1,78
Super built-up  Area,Ready To Move,3 BHK,Patri M,Uruli Devachi,1319,3,1,42
Plot  Area,Ready To Move,3 Bedroom,Sotus L,Vadgaon Budruk,2000,3,2,300
Plot  Area,Ready To Move,3 Bedroom,,Wadgaon Sheri,600,3,2,85
Super built-up  Area,Ready To Move,2 BHK,,Viman Nagar,940,2,1,48
Built-up  Area,Ready To Move,1 Bedroom,,Vishrant Wadi,600,1,0,45
Super built-up  Area,18-Sep,2 BHK,SunceEs,Wagholi,985,2,1,25.12
Plot  Area,Ready To Move,2 Bedroom,,Wakadewadi,500,1,0,55
Super built-up  Area,Ready To Move,2 BHK,ReudePr,Wanowrie,1349,2,2,56.7
Built-up  Area,18-Jun,3 Bedroom,,Warje,3117,3,2,261
Super built-up  Area,Ready To Move,3 BHK,SrisePo,Yerawada,1844,3,3,95
Super built-up  Area,Ready To Move,3 BHK,Prtanha,Alandi Road,1830,4,2,150
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,Ambegaon Budruk,2275,4,2,185
Super built-up  Area,18-Jul,4 BHK,Mamespa,Anandnagar,1791 - 4000,,,246
Super built-up  Area,18-Aug,2 BHK,,Aundh,1140,2,2,49.11
Plot  Area,Ready To Move,3 Bedroom,,Aundh Road,900,3,1,79
Super built-up  Area,Ready To Move,3 BHK,Nehalri,Balaji Nagar,2648,3,3,238
Plot  Area,Ready To Move,5 Bedroom,,Baner,5400,4,,700
Super built-up  Area,Ready To Move,3 BHK,,Baner road,1372,2,2,48.02
Built-up  Area,Ready To Move,3 BHK,Hoxiaa ,Bhandarkar Road,1455,2,1,45
Super built-up  Area,Ready To Move,2 BHK,,Bhavani Peth,1100,2,2,38
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,Bibvewadi,1295,2,1,55.47
Super built-up  Area,22-Jan,3 BHK,,Bopodi,1475,3,1,80
Super built-up  Area,18-Apr,3 BHK,PuonsSe,Budhwar Peth,1788,3,1,164
Super built-up  Area,Ready To Move,2 BHK,RInceeg,Bund Garden Road,1243,2,1,46
Super built-up  Area,Ready To Move,3 BHK,Goandn ,Camp,1855,3,3,140
Super built-up  Area,18-Aug,3 BHK,Sanzaat,Chandan Nagar,1850,3,2,120
Super built-up  Area,Ready To Move,3 BHK,Cilip J,Dapodi,1315,2,2,60
Super built-up  Area,18-May,2 BHK,Prtates,Deccan Gymkhana,1216,2,1,73
Super built-up  Area,Ready To Move,3 BHK,Soosea ,Dehu Road,1721,3,2,93
Super built-up  Area,17-Nov,2 BHK,Skacak ,Dhankawadi,1059,2,1,62
Built-up  Area,Ready To Move,2 BHK,Skesta ,Dhayari Phata,1184,2,1,55
Plot  Area,Ready To Move,7 Bedroom,,Dhole Patil Road,1400,5,2,175
Super built-up  Area,Ready To Move,3 BHK,Proodt ,Erandwane,2223,3,2,300
Built-up  Area,Ready To Move,3 BHK,KSideas,Fatima Nagar,1480,3,2,75
Super built-up  Area,Ready To Move,2 BHK,Raellil,Fergusson College Road,635,1,1,28
Plot  Area,Ready To Move,2 Bedroom,,Ganesh Peth,2400,2,1,228
